brand_name,final_price,id,msrp_price,name,regular_price,url_key
Prada Linea Rossa,99.99,754511.0,99.99,Prada Polarized Dark Grey Pillow Men's Sunglasses 0PS 56VS 1BO02G62,99.99,prada-dark-grey-pillow-mens-sunglasses-0ps-56vs-1bo02g62
Prada,149.99,766129.0,149.99,Prada Grey Gradient Cat Eye Ladies Sunglasses 0PR 03WSF 01M0A757,149.99,prada-grey-gradient-cat-eye-ladies-sunglasses-0pr-03wsf-01m0a757
Versace,109.99,766311.0,109.99,Versace Brown Cat Eye Ladies Sunglasses VE4378 10873 54,109.99,versace-brown-cat-eye-ladies-sunglasses-ve4378-10873-54
Armani Exchange,39.99,643017.0,39.99,Armani Exchange Men's Black Rectangular Sunglasses AX4084S81587P60,39.99,armani-exchange-mens-black-rectangular-sunglasses-ax4084s81587p60
Fendi,129.99,593744.0,129.99,Fendi Gold Decor Round Ladies Sunglasses FF 0379/G/S 00IH 60,129.99,fendi-gold-decor-ladies-sunglasses-ff-0379-g-s-00ih-60
Emporio Armani,49.99,648942.0,49.99,Emporio Armani Gradient violet sp Square Sunglasses 0EA4137-57906K54,49.99,emporio-armani-gradient-violet-sp-square-sunglasses-0ea4137-57906k54
Saint Laurent,163.99,615634.0,163.99,Saint Laurent Silver Sunglasses SL299003 50,163.99,saint-laurent-silver-sunglasses-sl299003-50
Salvatore Ferragamo,59.99,616164.0,59.99,Ferragamo Dark Brown Gradient Cat Eye Ladies Sunglasses SF877S 426 54,59.99,ferragamo-dark-brown-gradient-cat-eye-ladies-sunglasses-sf877s-426-54
Rag And Bone,59.99,543115.0,59.99,Rag & Bone Ladies White Rectangular Sunglasses RNB 1002/S 0MCB ET 52,59.99,rag-and-bone-ladies-white-rectangular-sunglasses-rnb-1002-s-0mcb-et-52
Chloe,119.99,473247.0,119.99,Chloe Unisex Green Square Sunglasses CE734S41759,119.99,chloe-ce734s41759
Roberto Cavalli,56.69,448249.0,56.69,Roberto Cavalli Cat Eye Ladies Sunglasses RC1125 33S 57,56.69,roberto-cavalli-sunglasses-rc1125-33s-57
Versace,109.99,766311.0,109.99,Versace Brown Cat Eye Ladies Sunglasses VE4378 10873 54,109.99,versace-brown-cat-eye-ladies-sunglasses-ve4378-10873-54
Jimmy Choo,99.99,545403.0,99.99,Jimmy Choo Gray Blue Rectangular Ladies Sunglasses GAL/S 807 53,99.99,jimmy-choo-gray-blue-rectangular-ladies-sunglasses-gal-s-807-53
Jimmy Choo,89.98,246407.0,89.98,Jimmy Choo Brown Square Sunglasses DAN/S 60K1 60,89.98,jimmy-choo-sunglasses-dan-s-60k1-60
Salvatore Ferragamo,89.99,339583.0,89.99,Ferragamo Grey Rectangular Men's Sunglasses SF785S03152,89.99,ferragamo-sunglasses-sf785s03152
Ermenegildo Zegna,69.99,496041.0,69.99,Ermenegildo Zegna Men's Brown Square Sunglasses ZEG-EZ004192J57,69.99,zegna-sunglasses-zeg-ez004192j57
Rag And Bone,59.99,543201.0,59.99,Rag & Bone Men's Tortoise Rectangular Sunglasses RNB 5006/S 0C9B QT 54,59.99,rag-and-bone-mens-tortoise-rectangular-sunglasses-rnb-5006-s-0c9b-qt-54
Oxydo,49.99,481741.0,49.99,Oxydo Round Men's Sunglasses O.NO2.1005UV2M54,49.99,oxydo-mens-grey-round-sunglasses-o-no2-1005uv2m54
Oxydo,43.98,481771.0,43.98,Oxydo Round Men's Sunglasses O.NO2.1002M2O754,43.98,oxydo-mens-gold-tone-round-sunglasses-o-no2-1002m2o754
Marc Jacobs,49.92,583913.0,49.92,Marc Jacobs Red Mirror Cat Eye Sunglasses MARC 356/S C9A UZ 54,49.92,marc-jacobs-red-mirror-cat-eye-sunglasses-marc-356-s-c9a-uz-54
Roberto Cavalli,89.99,587073.0,89.99,Roberto Cavalli Ladies Gold Tone Cat Eye Sunglasses RC1124 30F 71,89.99,roberto-cavalli-ladies-gold-tone-cat-eye-sunglasses-rc1124-30f-71
Fendi,129.99,470337.0,129.99,Fendi Green Cat Eye Ladies Sunglasses FF 0176/S 003 53,129.99,fendi-sunglasses-ff-0176-s-003-53
Dior,98.99,663972.0,98.99,Dior Cat Eye Sunglasses DIORONDE2 X6E/C6 58,98.99,dior-cat-eye-sunglasses-dioronde2-x6e-c6-58
Roberto Cavalli,89.99,606565.0,89.99,Roberto Cavalli Ladies Red Round Sunglasses RC1102-H 71S 54,89.99,roberto-cavalli-ladies-red-round-sunglasses-rc1102-h-71s-54
Roberto Cavalli,89.99,648415.0,89.99,Roberto Cavalli Green Gradient Round Sunglasses RC1137 32Q 58,89.99,roberto-cavalli-green-gradient-round-sunglasses-rc1137-32q-58
Roberto Cavalli,79.99,648418.0,79.99,Roberto Cavalli Grey Gradient Cat Eye Ladies Sunglasses RC992S 83B 55,79.99,roberto-cavalli-grey-gradient-cat-eye-ladies-sunglasses-rc992s-83b-55
Jimmy Choo,99.99,685885.0,99.99,Jimmy Choo Blue Cat Eye Ladies Sunglasses CLEA/G/S-0PJP-99/01,99.99,jimmy-choo-blue-cat-eye-ladies-sunglasses-clea-g-s-0pjp-99-01
Stella Mccartney,59.99,713328.0,59.99,Stella McCartney Pink Cat Eye Ladies Sunglasses SC0181S 003 57,59.99,stella-mccartney-pink-cat-eye-ladies-sunglasses-sc0181s-003-57
Calvin Klein,39.99,713723.0,39.99,Calvin Klein Brown Aviator Unisex Sunglasses CK19300S 009 59,39.99,calvin-klein-brown-aviator-unisex-sunglasses-ck19300s-009-59
Givenchy,99.99,715011.0,99.99,Givenchy Pink Gradient Oval Ladies Sunglasses GV 7159/S 35J 60 18 135,99.99,givenchy-pink-gradient-oval-ladies-sunglasses-gv-7159-s-35j-60-18-135
Jimmy Choo,129.99,715497.0,129.99,Jimmy Choo Green Square Men's Sunglasses HANS/S 086 54 22 150,129.99,jimmy-choo-green-square-mens-sunglasses-hans-s-086-54-22-150
Armani Exchange,44.99,718590.0,44.99,Armani Exchange Grey Gradient Cat Eye Ladies Sunglasses AX4048SF 815811 56,44.99,armani-exchange-grey-gradient-cat-eye-ladies-sunglasses-ax4048sf-815811-56
Emporio Armani,69.99,719143.0,69.99,Emporio Armani Grey Rectangular Men's Sunglasses 0EA4146 58006G36,69.99,emporio-armani-grey-rectangular-sunglasses-0ea4146-58006g36
Rag And Bone,59.99,722360.0,59.99,Rag and Bone Blue Square Sunglasses RNB5024/G/S KB7 KU 54,59.99,rag-and-bone-blue-square-sunglasses-rnb5024-g-s-kb7-ku-54
Arnette,44.99,722799.0,44.99,Arnette Grey Rectangular Sunglasses 0AN4265 26558755,44.99,arnette-grey-rectangular-sunglasses-0an4265-26558755
Michael Kors,49.99,722825.0,49.99,Michael Kors Gold Mirror Round Sunglasses 0MK1072 1014V957,49.99,michael-kors-gold-mirror-round-sunglasses-0mk1072-1014v957
Ralph Lauren,40.2,722980.0,40.2,Ralph Lauren Brown Blue Gradient Cat Eye Sunglasses RA523016471F 53,40.2,ralph-lauren-brown-blue-gradient-cat-eye-sunglasses-ra523016471f-53
Montblanc,249.99,724601.0,249.99,Montblanc Grey Aviator Men's Sunglasses MB0045S-00561,249.99,montblanc-grey-aviator-mens-sunglasses-mb0045s-00561
Oliver Peoples,139.99,704690.0,139.99,Oliver Peoples Green C Square Men's Sunglasses OV5418SU 167452 51,139.99,oliver-peoples-green-c-square-mens-sunglasses-ov5418su-167452-51
Chloe,67.99,709184.0,67.99,Chloe Red Round Ladies Sunglasses CE767S 643 54,67.99,chloe-red-round-ladies-sunglasses-ce767s-643-54
Burberry,119.99,756315.0,119.99,Burberry Green Aviator Men's Sunglasses BE3117 105271 58,119.99,burberry-green-aviator-mens-sunglasses-be3117-105271-58
Versace,99.99,756887.0,99.99,Versace Dark Brown Cat Eye Ladies Sunglasses 0VE4394F 108/7354,99.99,versace-dark-brown-cat-eye-ladies-sunglasses-0ve4394f-108-7354
Chopard,159.99,540145.0,159.99,Chopard Ladies Tortoise Cat Eye Sunglasses SCH258G07480,159.99,chopard-ladies-tortoise-cat-eye-sunglasses-sch258g07480
Emilio Pucci,79.99,543599.0,79.99,Emilio Pucci Ladies Black Square Sunglasses EP002301B54,79.99,emilio-pucci-ladies-black-square-sunglasses-ep002301b54
Calvin Klein,39.99,477463.0,39.99,Calvin Klein Unisex Silver Tone Aviator/Pilot Sunglasses CK18105S  46 57,39.99,calvin-klein-unisex-silver-tone-aviator-pilot-sunglasses-ck18105s-46-57
Marc Jacobs,49.99,437543.0,49.99,Marc Jacobs Blue Gradient Aviator Unisex Sunglasses MARC 268/S 086 00 61,49.99,marc-jacobs-marc-268-s-086-00-61
Fendi,79.99,575360.0,79.99,Fendi Pink Multilayer Round Men's Sunglasses FF M0058/S B3V 52,79.99,fendi-pink-multilayer-round-mens-sunglasses-ff-m0058-s-b3v-52
Roberto Cavalli,89.99,448257.0,89.99,Roberto Cavalli Cat Eye Ladies Sunglasses RC1129 54T 53,89.99,roberto-cavalli-sunglasses-rc1129-54t-53
Emporio Armani,59.99,648261.0,59.99,Emporio Armani Green gradient Men's Sunglasses 0EA2080-32308E53,59.99,emporio-armani-green-gradient-mens-sunglasses-0ea2080-32308e53
Ermenegildo Zegna,79.99,652619.0,79.99,Ermenegildo Zegna Brown Gradient Square Sunglasses EZ0041 20P 57,79.99,ermenegildo-zegna-brown-gradient-square-sunglasses-ez0041-20p-57
Saint Laurent,179.99,653587.0,179.99,Saint Laurent Grey Rectangular Men's Sunglasses SL252-30006127002,179.99,saint-laurent-grey-rectangular-mens-sunglasses-sl252-30006127002
Saint Laurent,179.99,653596.0,179.99,Saint Laurent Blue Gradient Cat Eye Ladies Sunglasses SL214KATE-30002632002,179.99,saint-laurent-blue-gradient-cat-eye-ladies-sunglasses-sl214kate-30002632002
Givenchy,149.99,653844.0,149.99,Givenchy Grey Gradient Round Sunglasses GV7030S-0DYD-58,149.99,givenchy-grey-gradient-round-sunglasses-gv7030s-0dyd-58
Givenchy,89.99,697449.0,89.99,Givenchy Square Ladies Sunglasses GV7024FS-GGX-53,89.99,givenchy-square-ladies-sunglasses-gv7024fs-ggx-53
Jimmy Choo,109.99,698565.0,109.99,Jimmy Choo Grey Shield Unisex Sunglasses CHOHUGOS 086 99,109.99,jimmy-choo-grey-shield-unisex-sunglasses-chohugos-086-99
Rag And Bone,59.99,699632.0,59.99,Rag & Bone Green Shaded Cat Eye Sunglasses RNB 1003/S 035J 9K 54,59.99,rag-and-bone-green-shaded-cat-eye-sunglasses-rnb-1003-s-035j-9k-54
Rag And Bone,59.99,712877.0,59.99,Rag & Bone Aviator Men's Sunglasses RNB 1006/S 09J9 T4 63,59.99,rag-and-bone-aviator-mens-sunglasses-rnb-1006-s-09j9-t4-63
Jimmy Choo,89.99,713149.0,89.99,Jimmy Choo Blue Cat Eye Ladies Sunglasses DONNAS MVU 54,89.99,jimmy-choo-blue-cat-eye-ladies-sunglasses-donnas-mvu-54
Police,69.99,714056.0,69.99,Police Smoke Gradient Square Men's Sunglasses SPL362 955M 55 17 140,69.99,police-smoke-gradient-square-mens-sunglasses-spl362-955m-55-17-140
Oxydo,35.99,714532.0,35.99,Oxydo Blue/Mirrored Khaki Square Men's Sunglasses OX 1087/S CED 50 22 145,35.99,oxydo-blue-mirrored-khaki-square-mens-sunglasses-ox-1087-s-ced-50-22-145
Givenchy,99.99,715081.0,99.99,Givenchy Grey Gradient Square Ladies Sunglasses GV 7071/S 7C5 9O 57,99.99,givenchy-grey-gradient-square-ladies-sunglasses-gv-7071-s-7c5-9o-57
Tom Ford,179.99,718750.0,179.99,Tom Ford Smoke Aviator Men's Sunglasses FT0796 01A 59,179.99,tom-ford-smoke-aviator-mens-sunglasses-ft0796-01a-59
Ralph Lauren,39.99,722974.0,39.99,Ralph Lauren Brown Square Sunglasses RA5236169173 51,39.99,ralph-lauren-brown-square-sunglasses-ra5236169173-51
Hugo Boss,49.99,709683.0,49.99,Boss Orange Brown Square Sunglasses BO 0212/S F87 56,49.99,boss-orange-brown-square-sunglasses-bo-0212-s-f87-56
Calvin Klein,27.99,742037.0,27.99,Calvin Klein Black Mirror Round Unisex Sunglasses CK2148S 001 51,27.99,calvin-klein-black-mirror-round-unisex-sunglasses-ck2148s-001-51
Saint Laurent,152.99,675638.0,152.99,Saint Laurent Grey Aviator Unisex Sunglasses SL294-30007198003,152.99,saint-laurent-grey-aviator-unisex-sunglasses-sl294-30007198003
Salvatore Ferragamo,79.99,676421.0,79.99,Salvatore Ferragamo Grey Gradient Oval Ladies Sunglasses SF760S 001 57,79.99,salvatore-ferragamo-grey-gradient-oval-ladies-sunglasses-sf760s-001-57
Fendi,129.99,342791.0,129.99,Fendi F is Fendi Grey Lilac Shaded Square Ladies Sunglasses FF0344S0T79O57,129.99,fendi-sunglasses-ff0344s0t79o57
Salvatore Ferragamo,89.99,310757.0,89.99,Ferragamo Brown Rectangular Men's Sunglasses SF686S31856,89.99,ferragamo-sunglasses-sf686s31856
Hugo Boss,79.99,314313.0,79.99,Hugo Boss Grey Mirror Rectangular Men's Sunglasses BOSS 0823/S YX2 58,79.99,hugo-boss-sunglasses-boss-0823-s-yx2-58
Spy,69.99,493649.0,69.99,SPY Arcylon Polarized Gray/Green Rectangular Sunglasses 673521374864,69.99,spy-sunglasses-673521374864
Chloe,79.99,500415.0,79.99,Chloe Havana Round Sunglasses CE753S21852,79.99,chloe-sunglasses-ce753s21852
Emilio Pucci,79.99,543565.0,79.99,Emilio Pucci Ladies Black Square Sunglasses EP010205B57,79.99,emilio-pucci-ladies-black-square-sunglasses-ep010205b57
Jimmy Choo,99.99,545371.0,99.99,Jimmy Choo Silver Mirror Aviator Men's Sunglasses DAVE/S BSC 52,99.99,jimmy-choo-silver-mirror-aviator-mens-sunglasses-dave-s-bsc-52
Roberto Cavalli,80.99,575615.0,80.99,Roberto Cavalli Ladies Gold Tone Oval Sunglasses RC1124,80.99,roberto-cavalli-ladies-gold-tone-oval-sunglasses-rc1124
Saint Laurent,189.99,642195.0,189.99,Saint Laurent Grey Aviator Unisex Sunglasses SL279-30007174003,189.99,saint-laurent-grey-aviator-unisex-sunglasses-sl279-30007174003
Roberto Cavalli,89.99,648422.0,89.99,Roberto Cavalli Brown Gradient Cat Eye Sunglasses RC992S 50F 55,89.99,roberto-cavalli-brown-gradient-cat-eye-sunglasses-rc992s-50f-55
Saint Laurent,198.99,652622.0,198.99,Saint Laurent Green Square Unisex Sunglasses SL292-30007082002,198.99,saint-laurent-green-square-unisex-sunglasses-sl292-30007082002
Saint Laurent,188.99,653525.0,188.99,Saint Laurent Green Cat Eye Ladies Sunglasses SLM28-30006132005,188.99,saint-laurent-green-cat-eye-ladies-sunglasses-slm28-30006132005
Saint Laurent,184.99,653573.0,184.99,Saint Laurent Grey Square Ladies Sunglasses SLM41-30007193005,184.99,saint-laurent-grey-square-ladies-sunglasses-slm41-30007193005
Hugo Boss,79.99,698957.0,79.99,Hugo Boss Grey Mirror Rectangular Men's Sunglasses BOSS 0823/S YX2 58,79.99,hugo-boss-grey-mirror-rectangular-mens-sunglasses-boss-0823-s-yx2-58
Dsquared2,59.99,713035.0,59.99,Dsquared2 Victor Mirrored Brown Rectangular Ladies Sunglasses DQ0294 68G 55 17 140,59.99,dsquared2-victor-mirrored-brown-rectangular-ladies-sunglasses-dq0294-68g-55-17-140
Dsquared2,69.99,713349.0,69.99,Dsquared2 Mirrored Smoke Rectangular Men's Sunglasses DQ0337 02C 59 19 130,69.99,dsquared2-mirrored-smoke-rectangular-mens-sunglasses-dq0337-02c-59-19-130
Oxydo,39.99,714535.0,39.99,Oxydo Grey Gradient Square Men's Sunglasses OX 1087/S CDN 50 22 145,39.99,oxydo-grey-gradient-square-mens-sunglasses-ox-1087-s-cdn-50-22-145
Emporio Armani,69.99,719187.0,69.99,Emporio Armani Blue Rectangular Men's Sunglasses 0EA4146 57548736,69.99,emporio-armani-blue-rectangular-sunglasses-0ea4146-57548736
Emilio Pucci,76.99,720966.0,76.99,Emilio Pucci Light Brown Square Sunglasses EP0138 45E 52,76.99,emilio-pucci-light-brown-square-sunglasses-ep0138-45e-52
Rag And Bone,59.99,722434.0,59.99,Rag and Bone Green Gradient Ladies Sunglasses RNB1031/G/S 1ED 9K 59,59.99,rag-and-bone-green-gradient-ladies-sunglasses-rnb1031-g-s-1ed-9k-59
Emporio Armani,59.99,722785.0,59.99,Emporio Armani Light Blue Gradient Cat Eye Sunglasses 0EA4143 58281952,59.99,emporio-armani-light-blue-gradient-cat-eye-sunglasses-0ea4143-58281952
Guess,29.99,725379.0,29.99,Guess Mirrored Smoke Cat Eye Ladies Sunglasses GU3059 20C 57,29.99,guess-mirrored-smoke-cat-eye-ladies-sunglasses-gu3059-20c-57
Emporio Armani,54.99,705646.0,54.99,Emporio Armani Ladies Green Square Sunglasses EA209732058759,54.99,emporio-armani-ladies-green-square-sunglasses-ea209732058759
Versace,74.99,757699.0,74.99,Versace Brown Gradient Mirror Gold Butterfly Ladies Sunglasses VE4390F 108/6E 56,74.99,versace-clear-gradient-light-brown-mirrored-gold-butterfly-ladies-sunglasses-0ve4390f-108-6e56
Chloe,89.99,677317.0,89.99,Chloe Ladies Rose Gold Tone Round Sunglasses CE160S 860 52,89.99,chloe-ladies-rose-gold-tone-round-sunglasses-ce160s-860-52
Givenchy,99.99,336177.0,99.99,Givenchy Grey Sunglasses Ladies Sunglasses GV7072S-7C5-52,99.99,givenchy-sunglasses-gv7072s-7c5-52
Oakley,109.99,674030.0,109.99,Oakley Sutro Lite Prizm Road Rectangular Sunglasses OO9463-946302-39,109.99,oakley-sutro-lite-prizm-road-rectangular-sunglasses-oo9463-946302-39
Moncler,126.66,685093.0,126.66,Moncler Roviex Square Unisex Sunglasses ML0043 90J 52 18 145,126.66,moncler-roviex-square-unisex-sunglasses-ml0043-90j-52-18-145
Salvatore Ferragamo,59.99,722117.0,59.99,Salvatore Ferragamo Grey Gradient Rectangular Ladies Sunglasses SF739SA 001 59,59.99,salvatore-ferragamo-grey-gradient-rectangular-ladies-sunglasses-sf739sa-001-59
Lacoste,27.99,753269.0,27.99,Lacoste Mirrored Ladies Sunglasses L842SA 001 5517,27.99,lacoste-mirrored-ladies-sunglasses-l842sa-001-5517
Lacoste,38.99,493211.0,38.99,Lacoste Men's Gold Tone Aviator/Pilot Sunglasses L177SP 714 59,38.99,lacoste-mens-gold-tone-aviator-pilot-sunglasses-l177sp-714-59
Oakley,109.99,266343.0,109.99,Oakley Holbrook XL Prizm Black Square Polarized Men's Sunglasses 0OO9417 941705 59,109.99,oakley-sunglasses-0oo9417-941705-59
